"shape","items","wbar","concordance","quadrature_nodes","curve"
"skewed",,0.78,0.832290176151099,800,"matched"
"skewed",,0.7875,0.835151378163994,800,"matched"
"skewed",,0.795,0.838012580176889,800,"matched"
"skewed",,0.8025,0.840873782189784,800,"matched"
"skewed",,0.81,0.84405931689751,800,"matched"
"skewed",,0.8175,0.84739542602879,800,"matched"
"skewed",,0.825,0.85073153516007,800,"matched"
"skewed",,0.8325,0.854067644291351,800,"matched"
"skewed",,0.84,0.857403753422631,800,"matched"
"skewed",,0.8475,0.860739862553912,800,"matched"
"skewed",,0.855,0.864075971685192,800,"matched"
"skewed",,0.8625,0.867412080816473,800,"matched"
"skewed",,0.87,0.870867491430974,800,"matched"
"skewed",,0.8775,0.874859169176825,800,"matched"
"skewed",,0.885,0.878850846922676,800,"matched"
"skewed",,0.8925,0.882842524668527,800,"matched"
"skewed",,0.9,0.886834202414378,800,"matched"
"skewed",,0.9075,0.89082588016023,800,"matched"
"skewed",,0.915,0.895515855278623,800,"matched"
"skewed",,0.9225,0.900312825454798,800,"matched"
"skewed",,0.93,0.905109795630972,800,"matched"
"skewed",,0.9375,0.909956811245883,800,"matched"
"skewed",,0.945,0.915733989968434,800,"matched"
"skewed",,0.9525,0.921511168690986,800,"matched"
"skewed",,0.96,0.927920209827845,800,"matched"
